team,opponent_team,date,site,incident,time,var_used,incident_type
AFC Bournemouth,Tottenham,July 9,H,Goal for Callum Wilson ruled out for handball by Josh King,90th minute,AGAINST,Handball
AFC Bournemouth,Man City,July 15,A,"Man City penalty, for a foul on Gabriel Jesus by Steve Cook, overturned",71st minute,FOR,Penalty
AFC Bournemouth,Southampton,July 19,H,Penalty awarded (missed by Danny Ings) for handball by Harry Wilson,57th minute,AGAINST,Penalty
AFC Bournemouth,Southampton,July 19,H,"Sam Surridge goal disallowed, Callum Wilson offside",94th minute,AGAINST,Offside
Chelsea,Norwich,Aug. 24,A,Chelsea goal for Kurt Zouma disallowed for a foul on the goalkeeper by Olivier Giroud,77th minute,AGAINST,Foul
Chelsea,Liverpool,Sept. 22,H,Goal ruled out after Mason Mount was offside in the build-up to Cesar Azpilicueta's goal,27th minute,AGAINST,Offside
Chelsea,Burnley,Oct. 26,A,Penalty overturned for diving by Callum Hudson-Odoi,76th minute,AGAINST,Penalty
Chelsea,Watford,Nov. 2,A,Penalty (scored by Deulofeu) awarded for foul by Jorginho for trip on Gerard Deulofeu,77th minute,AGAINST,Penalty
Chelsea,West Ham,Nov. 30,H,Goal for Michail Antonio ruled out for handball,67th minute,FOR,Handball
Chelsea,Bournemouth,Dec. 14,H,"Dan Gosling goal, originally disallowed for offside, given by the VAR",84th minute,AGAINST,Offside
Chelsea,Tottenham,Dec. 22,A,Penalty (scored by Willian) awarded for foul by Paulo Gazzaniga on Marcos Alonso,45th minute,FOR,Penalty
Chelsea,Tottenham,Dec. 22,A,Son Heung-Min sent off for foul on Antonio Rudiger,62nd minute,FOR,Foul
Chelsea,Manchester United,Feb. 17,H,Kurt Zouma goal disallowed for foul on Brandon Williams by Cesar Azpilicueta,55th minute,AGAINST,Foul
Chelsea,Manchester United,Feb. 17,H,Olivier Giroud goal disallowed for offside,77th minute,AGAINST,Offside
Chelsea,Manchester City,June 25,H,"Fernandinho sent off for deliberate handball on the goalline, penalty scored by Willian",77th minute,FOR,Penalty
Chelsea,West Ham,July 1,A,Tomas Soucek goal disallowed for offside against Michail Antonio,34th minute,FOR,Offside
Watford,Chelsea,Nov. 2,H,Penalty (scored by Deulofeu) awarded for trip on Gerard Deulofeu by Jorginho,77th minute,FOR,Penalty
Watford,Burnley,Nov. 23,H,Penalty (scored by Barnes) awarded for foul on Ashley Barnes by Jose Holebas,80th minute,AGAINST,Penalty
Watford,Liverpool,Dec. 14,A,Sadio Mane goal ruled out for offside,51st minute,FOR,Offside
Watford,Wolves,Jan. 1,H,Christian Kabasele sent off for professional foul after originally being booked,68th minute,AGAINST,Foul
Watford,Man United,Feb. 23,A,Goal for Troy Deeney disallowed for handball by Craig Dawson,52nd minute,AGAINST,Handball
Watford,Arsenal,July 26,A,Penalty (scored by Pierre-Emerick Aubameyang) awarded for foul by Craig Dawson on Alexandre Lacazette,2nd minute,AGAINST,Penalty
Aston Villa,Burnley,Sept. 28,H,"Goal for John McGinn ruled out on review, Conor Hourihane offside in build-up",25th minute,AGAINST,Offside
Aston Villa,Brighton,Oct. 19,H,Conor Hourihane goal ruled out for a foul by Wesley on Mat Ryan,42nd minute,AGAINST,Foul
Aston Villa,Sheffield United,Dec. 14,A,Penalty awarded (missed by Jack Grealish) for handball by John Egan,76th minute,FOR,Penalty
Aston Villa,Burnley,Jan. 1,A,"Goal for Villa's Jack Grealish ruled out on review, Wesley offside in build-up",11th minute,AGAINST,Offside
Aston Villa,Tottenham,Feb. 16,H,Penalty (missed by Son Heung-Min but scored on the rebound) awarded for foul by Bjorn Engels on Steven Bergwijn,45th minute,AGAINST,Penalty
Aston Villa,Crystal Palace,July 12,H,Mamadou Sakho goal ruled out for handball,7th minute,FOR,Handball
Aston Villa,Crystal Palace,July 12,H,"Penalty cancelled, awarded for foul on Jack Grealish by Patrick van Aanholt",47th minute,AGAINST,Penalty
West Ham,Man City,Aug. 10,H,City goal for Gabriel Jesus ruled out for an offside against Raheem Sterling earlier in the move,53rd minute,FOR,Offside
West Ham,Man City,Aug. 10,H,Missed City penalty retaken due to encroachment by Declan Rice. Retake scored by Sergio Aguero,86th minute,AGAINST,Penalty
West Ham,Brighton,Aug. 17,A,"Brighton goal for Leandro Trossard ruled out for offside by Dan Burn, who created the goal",27th minute,FOR,Offside
West Ham,AFC Bournemouth,Sept. 28,A,"Josh King goal, originally ruled out for offside, cleared by the VAR",17th minute,AGAINST,Offside
West Ham,Crystal Palace,Oct. 5,H,Jordan Ayew goal awarded after originally being ruled out for offside,87th minute,AGAINST,Offside
West Ham,Burnley,Nov. 9,A,Chris Wood goal disallowed for offside,36th minute,FOR,Offside
West Ham,Tottenham,Nov. 23,H,Declan Rice goal disallowed for offside,89th minute,AGAINST,Offside
West Ham,Chelsea,Nov. 30,A,Goal for Michail Antonio ruled out for handball,67th minute,AGAINST,Handball
West Ham,Southampton,Dec. 14,A,Goal for Michail Antonio ruled out for handball,52nd minute,AGAINST,Handball
West Ham,Bournemouth,Jan. 1,H,Aaron Cresswell red card downgraded to yellow,76th minute,FOR,Red Card
West Ham,Sheffield United,Jan. 10,A,Goal for Robert Snodgrass ruled out for handball in the build-up by Declan Rice,90th minute,AGAINST,Handball
West Ham,Brighton & Hove Albion,Feb. 1,H,Goal for Glenn Murray allowed after incorrect handball,79th minute,AGAINST,Handball
West Ham,Arsenal,March 7,A,Alexandre Lacazette goal allowed after incorrect offside against Mesut Ozil,78th minute,AGAINST,Offside
West Ham,Tottenham,June 23,A,Son Heung-Min goal disallowed for offside,45th minute,FOR,Offside
West Ham,Chelsea,July 1,H,Tomas Soucek goal disallowed for offside against Michail Antonio,34th minute,AGAINST,Offside
West Ham,Man United,July 22,A,Penalty awarded for a handball by Paul Pogba (scored by Michael Antonio),45th minute,FOR,Penalty
